,drift_rate,f_start,snr,driftrate_idx,channel_idx,beam_idx,boxcar_size,ddsk,n_integration
1,-0.3730931005317769,8419.542730785906,261.9039611816406,39.0,659989.0,0.0,1.0,1.6788522005081177,16.0
0,-0.3730931005317769,8419.565068557858,30.5589599609375,39.0,651994.0,0.0,1.0,19.063663482666016,16.0
2,-0.3730931005317769,8419.520393013954,29.42150115966797,39.0,667984.0,0.0,1.0,23.205608367919922,16.0
