,drift_rate,f_start,snr,driftrate_idx,channel_idx,beam_idx,boxcar_size,n_integration
5062,-1.3010426069826067,8420.695119537413,16264776.0,136.0,247533.0,0.0,8.0,16.0
4721,-2.286391051976787,8420.891647227108,16264299.0,239.0,177193.0,0.0,8.0,16.0
5032,-2.5829522344507634,8420.71212362498,16263483.0,270.0,241447.0,0.0,8.0,16.0
5097,-3.434369822843793,8420.674617402256,16263296.0,359.0,254871.0,0.0,8.0,16.0
5112,-4.3527528395373976,8420.666442252696,16261130.0,455.0,257797.0,0.0,8.0,16.0
5105,-1.2819096274681565,8420.66986206919,16260755.0,134.0,256573.0,0.0,8.0,16.0
4989,-6.342582709040208,8420.7406276837,16260373.0,663.0,231245.0,0.0,8.0,16.0
4664,-5.8833912006934055,8420.92218529433,16260048.0,615.0,166263.0,0.0,8.0,16.0
4670,-6.055588016323457,8420.918734744191,16258898.0,633.0,167498.0,0.0,8.0,16.0
4621,-6.677409850543085,8420.946663245559,16258869.0,698.0,157502.0,0.0,8.0,16.0
4998,-3.1760745993987163,8420.734064653516,16258693.0,332.0,233594.0,0.0,8.0,16.0
5036,-5.328534794774352,8420.710181817412,16257188.0,557.0,242142.0,0.0,8.0,16.0
5100,-1.176678240138681,8420.672756619751,16256512.0,123.0,255537.0,0.0,8.0,16.0
4677,-4.8406438171558746,8420.915862545371,16255102.0,506.0,168526.0,0.0,8.0,16.0
4744,-7.069635930589311,8420.878951437771,16254804.0,739.0,181737.0,0.0,8.0,16.0
5008,-4.477117206381323,8420.7276776433,16252854.0,468.0,235880.0,0.0,8.0,16.0
4826,-3.3674043945432173,8420.83390429616,16252423.0,352.0,197860.0,0.0,8.0,16.0
4999,-3.4630692921154678,8420.733106322587,16251896.0,362.0,233937.0,0.0,8.0,16.0
4904,-0.5548564059190528,8420.790891163051,16251783.0,58.0,213255.0,0.0,8.0,16.0
5044,-7.232266256462137,8420.705443248153,16250898.0,756.0,243838.0,0.0,8.0,16.0
4682,-0.2869946927167515,8420.913669280708,16250052.0,30.0,169311.0,0.0,8.0,16.0
5050,-6.620010911999734,8420.702182687819,16248072.0,692.0,245005.0,0.0,8.0,16.0
5018,-5.586830018219429,8420.721449889243,16247934.0,584.0,238109.0,0.0,8.0,16.0
5024,-7.6914577648089395,8420.717423781753,16247425.0,804.0,239550.0,0.0,8.0,16.0
5088,-7.701024254566165,8420.681468211114,16247029.0,805.0,252419.0,0.0,8.0,16.0
4788,-1.4923724021271076,8420.854666270316,16246664.0,156.0,190429.0,0.0,8.0,16.0
4698,-2.745582560323589,8420.904759317636,16245995.0,287.0,172500.0,0.0,8.0,16.0
4863,-2.8412474578958395,8420.81328202039,16245557.0,297.0,205241.0,0.0,8.0,16.0
4798,-4.86934328642755,8420.848991721869,16245473.0,509.0,192460.0,0.0,8.0,16.0
4774,-3.0421437427975655,8420.862955972552,16245431.0,318.0,187462.0,0.0,8.0,16.0
4789,-2.0663617875606106,8420.854384079576,16245385.0,216.0,190530.0,0.0,8.0,16.0
4779,-6.524346014427484,8420.859734527767,16245069.0,682.0,188615.0,0.0,8.0,16.0
4662,-0.765319180578004,8420.92302069068,16243454.0,80.0,165964.0,0.0,8.0,16.0
5074,-2.7838485193524893,8420.688668265939,16242892.0,291.0,249842.0,0.0,8.0,16.0
4813,-5.77815981336393,8420.841559767723,16241320.0,604.0,195120.0,0.0,8.0,16.0
5059,-6.486080055398584,8420.6971116364,16241102.0,678.0,246820.0,0.0,8.0,16.0
5004,-5.098939040600952,8420.73048837483,16240769.0,533.0,234874.0,0.0,8.0,16.0
4890,-1.2245106889248063,8420.798144303262,16240634.0,128.0,210659.0,0.0,8.0,16.0
5119,-1.9611304002311352,8420.66173441708,16240204.0,205.0,259482.0,0.0,8.0,16.0
4835,-6.868739645687586,8420.828958973289,16239880.0,718.0,199630.0,0.0,8.0,16.0
5053,-2.9751783144969903,8420.700587332249,16239649.0,311.0,245576.0,0.0,8.0,16.0
5122,-3.128242150612591,8420.659870840609,16236951.0,327.0,260149.0,0.0,8.0,16.0
4931,-3.310005455999867,8420.775996521115,16236595.0,346.0,218586.0,0.0,8.0,16.0
5085,-0.0382659590289002,8420.682820491493,16236422.0,4.0,251935.0,0.0,8.0,16.0
4878,-0.23916224393062624,8420.80557346344,16236418.0,25.0,208000.0,0.0,8.0,16.0
4747,-3.88399484143337,8420.877814292908,16235987.0,406.0,182144.0,0.0,8.0,16.0
4720,-7.988018947282916,8420.892060734332,16235137.0,835.0,177045.0,0.0,8.0,16.0
5049,-4.534516144924673,8420.70254869759,16235081.0,474.0,244874.0,0.0,8.0,16.0
4924,-7.031369971560411,8420.780112035573,16234813.0,735.0,217113.0,0.0,8.0,16.0
4966,-4.582348593710798,8420.754614286125,16233903.0,479.0,226239.0,0.0,8.0,16.0
4775,-2.133327215861186,8420.861994847655,16233813.0,223.0,187806.0,0.0,8.0,16.0
5125,-2.3916224393062624,8420.6587029621,16233647.0,250.0,260567.0,0.0,8.0,16.0
5127,-4.218821982936246,8420.657481998205,16233522.0,441.0,261004.0,0.0,8.0,16.0
4660,-4.065758146820646,8420.923920348287,16233489.0,425.0,165642.0,0.0,8.0,16.0
4603,-4.678013491283049,8420.9572551772,16233343.0,489.0,153711.0,0.0,8.0,16.0
5083,-2.4298883983351627,8420.683602802455,16232273.0,254.0,251655.0,0.0,8.0,16.0
4743,-7.777556172623965,8420.879602432251,16231938.0,813.0,181504.0,0.0,8.0,16.0
4688,-1.91329795144501,8420.909928157926,16231914.0,200.0,170650.0,0.0,8.0,16.0
5076,-6.706109319814759,8420.687388628721,16231260.0,701.0,250300.0,0.0,8.0,16.0
5073,-1.1097128118381057,8420.688953250647,16230949.0,116.0,249740.0,0.0,8.0,16.0
5014,-0.8992500371791546,8420.723964460194,16230171.0,94.0,237209.0,0.0,8.0,16.0
5020,-1.339308566011507,8420.720530673862,16229927.0,140.0,238438.0,0.0,8.0,16.0
4622,-6.399981647583558,8420.94586417079,16229818.0,669.0,157788.0,0.0,8.0,16.0
4973,-5.9886225880228805,8420.750185847282,16229801.0,626.0,227824.0,0.0,8.0,16.0
4891,-2.678617132023014,8420.797736383975,16229775.0,280.0,210805.0,0.0,8.0,16.0
4667,-1.167111750381456,8420.920095406473,16229556.0,122.0,167011.0,0.0,8.0,16.0
4944,-6.1799523831673815,8420.768128708005,16229446.0,646.0,221402.0,0.0,8.0,16.0
4993,-4.955441694242576,8420.73768004775,16229152.0,518.0,232300.0,0.0,8.0,16.0
4792,-3.434369822843793,8420.852431096137,16228999.0,359.0,191229.0,0.0,8.0,16.0
4799,-6.524346014427484,8420.847994275391,16228658.0,682.0,192817.0,0.0,8.0,16.0
5123,-4.170989534150121,8420.659588649869,16228596.0,436.0,260250.0,0.0,8.0,16.0
4862,-2.0089628490172604,8420.813983306289,16228577.0,210.0,204990.0,0.0,8.0,16.0
4887,-4.515383165410223,8420.799641869962,16228025.0,472.0,210123.0,0.0,8.0,16.0
4786,-2.0185293387744854,8420.855831354856,16227719.0,211.0,190012.0,0.0,8.0,16.0
4654,-5.433766182103828,8420.927066355944,16227527.0,568.0,164516.0,0.0,8.0,16.0
4741,-3.482202271629918,8420.880443416536,16226460.0,364.0,181203.0,0.0,8.0,16.0
4912,-7.0122369920459615,8420.78606877476,16226039.0,733.0,214981.0,0.0,8.0,16.0
5007,-2.2098591339189864,8420.728837139904,16225718.0,231.0,235465.0,0.0,8.0,16.0
4574,-4.084891126335096,8420.97294330597,16225690.0,427.0,148096.0,0.0,8.0,16.0
4671,-7.758423193109515,8420.918142423034,16225284.0,811.0,167710.0,0.0,8.0,16.0
4683,-6.409548137340783,8420.91318871826,16225070.0,670.0,169483.0,0.0,8.0,16.0
4759,-3.769196964346669,8420.871430076659,16224578.0,394.0,184429.0,0.0,8.0,16.0
4804,-6.553045483699159,8420.845549553633,16223769.0,685.0,193692.0,0.0,8.0,16.0
4811,-1.9324309309594598,8420.842677354813,16223717.0,202.0,194720.0,0.0,8.0,16.0
5003,-0.7366197113063288,8420.730963349342,16223564.0,77.0,234704.0,0.0,8.0,16.0
4733,-4.9458752044853505,8420.885059051216,16221344.0,517.0,179551.0,0.0,8.0,16.0
4948,-7.098335399860987,8420.765745453537,16220594.0,742.0,222255.0,0.0,8.0,16.0
4874,-0.8227181191213543,8420.807534828782,16220591.0,86.0,207298.0,0.0,8.0,16.0
4679,-4.084891126335096,8420.915205962956,16220569.0,427.0,168761.0,0.0,8.0,16.0
4951,-3.5683006794449432,8420.763091184199,16220256.0,373.0,223205.0,0.0,8.0,16.0
4760,-1.8750319924161096,8420.870798639953,16220006.0,196.0,184655.0,0.0,8.0,16.0
4751,-4.8502103069131,8420.875260606408,16219958.0,507.0,183058.0,0.0,8.0,16.0
4915,-7.614925846751139,8420.784216374159,16219377.0,796.0,215644.0,0.0,8.0,16.0
4771,-3.290872476485417,8420.864255167544,16218959.0,344.0,186997.0,0.0,8.0,16.0
4610,-7.127034869132662,8420.953704044223,16218914.0,745.0,154982.0,0.0,8.0,16.0
4986,-1.9706968899883601,8420.743307098746,16218631.0,206.0,230286.0,0.0,8.0,16.0
5081,-7.1366013588898864,8420.684527605772,16218317.0,746.0,251324.0,0.0,8.0,16.0
5063,-0.12436436684392564,8420.694820582867,16218134.0,13.0,247640.0,0.0,8.0,16.0
5095,-4.209255493179022,8420.67585233599,16217756.0,440.0,254429.0,0.0,8.0,16.0
4755,-2.688183621780239,8420.873531140387,16217678.0,281.0,183677.0,0.0,8.0,16.0
4780,-7.127034869132662,8420.859063975513,16217062.0,745.0,188855.0,0.0,8.0,16.0
4639,-2.669050642265789,8420.936370268464,16216716.0,279.0,161186.0,0.0,8.0,16.0
5121,-6.9452715637453855,8420.660351403058,16216530.0,726.0,259977.0,0.0,8.0,16.0
4987,-0.0382659590289002,8420.74219789356,16216445.0,4.0,230683.0,0.0,8.0,16.0
4942,-0.5357234264046028,8420.769050717354,16216229.0,56.0,221072.0,0.0,8.0,16.0
4952,-2.2098591339189864,8420.76275870204,16215196.0,231.0,223324.0,0.0,8.0,16.0
4704,-7.873221070196215,8420.901347883046,16214994.0,823.0,173721.0,0.0,8.0,16.0
5082,-3.109109171098141,8420.683988370001,16214704.0,325.0,251517.0,0.0,8.0,16.0
4914,-2.563819254936313,8420.784858986735,16214478.0,268.0,215414.0,0.0,8.0,16.0
4933,-3.5683006794449432,8420.774074271321,16213512.0,373.0,219274.0,0.0,8.0,16.0
4825,-3.5683006794449432,8420.834242366254,16213416.0,373.0,197739.0,0.0,8.0,16.0
4598,-5.6059629977338785,8420.95997929573,16212819.0,586.0,152736.0,0.0,8.0,16.0
4994,-6.983537522774286,8420.736799947917,16212743.0,730.0,232615.0,0.0,8.0,16.0
4939,-1.3010426069826067,8420.770771801472,16212337.0,136.0,220456.0,0.0,8.0,16.0
4913,-7.394896582334963,8420.78560218215,16212235.0,773.0,215148.0,0.0,8.0,16.0
5054,-2.4107554188207123,8420.700240880251,16212062.0,252.0,245700.0,0.0,8.0,16.0
5126,-5.070239571329276,8420.658124610782,16211190.0,530.0,260774.0,0.0,8.0,16.0
4722,-1.5019388918843328,8420.891099609435,16211096.0,157.0,177389.0,0.0,8.0,16.0
5080,-6.2469178114679575,8420.684963464737,16211084.0,653.0,251168.0,0.0,8.0,16.0
4696,-1.7793670948438591,8420.905781909823,16210473.0,186.0,172134.0,0.0,8.0,16.0
5101,-6.046021526566231,8420.672097243369,16210340.0,632.0,255773.0,0.0,8.0,16.0
4691,-1.377574525040407,8420.907888561487,16209650.0,144.0,171380.0,0.0,8.0,16.0
4572,-7.854088090681765,8420.974276028574,16209399.0,821.0,147619.0,0.0,8.0,16.0
